semana_inicio,categoria,target,prediccion_naive,error_abs,error_pct
2025-10-13,Basketball,0,0,0,0.0
2025-10-20,Basketball,0,0,0,0.0
2025-10-27,Basketball,0,0,0,0.0
2025-11-03,Basketball,0,0,0,0.0
2025-11-10,Basketball,1,0,1,100.0
2025-11-17,Basketball,1,1,0,0.0
2025-11-24,Basketball,0,1,1,100.0
2025-12-01,Basketball,0,0,0,0.0
2025-12-08,Basketball,3,0,3,100.0
2025-12-15,Basketball,0,3,3,100.0
2025-12-22,Basketball,0,0,0,0.0
2025-12-29,Basketball,0,0,0,0.0
2026-01-05,Basketball,0,0,0,0.0
2026-01-12,Basketball,0,0,0,0.0
2026-01-19,Basketball,1,0,1,100.0
2026-01-26,Basketball,0,1,1,100.0
2026-02-02,Basketball,0,0,0,0.0
2026-02-09,Basketball,0,0,0,0.0
2026-02-16,Basketball,0,0,0,0.0
2026-02-23,Basketball,0,0,0,0.0
2026-03-02,Basketball,0,0,0,0.0
2026-03-09,Basketball,0,0,0,0.0
2026-03-16,Basketball,0,0,0,0.0
2025-10-13,Casual,1,0,1,100.0
2025-10-20,Casual,0,1,1,100.0
2025-10-27,Casual,0,0,0,0.0
2025-11-03,Casual,0,0,0,0.0
2025-11-10,Casual,0,0,0,0.0
2025-11-17,Casual,0,0,0,0.0
2025-11-24,Casual,0,0,0,0.0
2025-12-01,Casual,0,0,0,0.0
2025-12-08,Casual,0,0,0,0.0
2025-12-15,Casual,0,0,0,0.0
2025-12-22,Casual,0,0,0,0.0
2025-12-29,Casual,0,0,0,0.0
2026-01-05,Casual,1,0,1,100.0
2026-01-12,Casual,0,1,1,100.0
2026-01-19,Casual,0,0,0,0.0
2026-01-26,Casual,0,0,0,0.0
2026-02-02,Casual,0,0,0,0.0
2026-02-09,Casual,0,0,0,0.0
2026-02-16,Casual,0,0,0,0.0
2026-02-23,Casual,0,0,0,0.0
2026-03-02,Casual,0,0,0,0.0
2026-03-09,Casual,0,0,0,0.0
2026-03-16,Casual,0,0,0,0.0
2025-10-13,Futbol,0,0,0,0.0
2025-10-20,Futbol,0,0,0,0.0
2025-10-27,Futbol,0,0,0,0.0
2025-11-03,Futbol,0,0,0,0.0
2025-11-10,Futbol,0,0,0,0.0
2025-11-17,Futbol,0,0,0,0.0
2025-11-24,Futbol,0,0,0,0.0
2025-12-01,Futbol,2,0,2,100.0
