semana_inicio,categoria,unidades,ingresos_total,total_neto_sum,ticket_promedio,n_disenos_unicos,n_estados,anio,mes,semana_iso,anio_semana,temporada,tiene_evento_semana,es_resolucion_ano_nuevo,semanas_desde_inicio,lag_1w,lag_2w,lag_3w,lag_4w,rolling_mean_2w,rolling_std_2w,rolling_mean_4w,rolling_std_4w,rolling_max_4w,cambio_semanal,cambio_pct,ventas_acumuladas,cat_Basketball,cat_Casual,cat_Futbol,cat_Gym,cat_Movies,cat_Musica,cat_Sports,cat_Tenis,temp_invierno,temp_otono,temp_primavera,target
2025-10-13,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,10,42,2025-W42,otono,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025-10-20,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,10,43,2025-W43,otono,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025-10-27,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,10,44,2025-W44,otono,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025-11-03,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,11,45,2025-W45,otono,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025-11-10,Basketball,1,486.0,353.0,486.0,1.0,1.0,2025,11,46,2025-W46,otono,1,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0,0,0,0,0,0,0,0,1,0,1
2025-11-17,Basketball,1,486.0,255.0,486.0,1.0,1.0,2025,11,47,2025-W47,otono,1,0,5,1,0,0,0,0.5,0.7071067811865476,0.25,0.5,1.0,0,0.0,2,1,0,0,0,0,0,0,0,0,1,0,1
2025-11-24,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,11,48,2025-W48,otono,1,0,6,1,1,0,0,1.0,0.0,0.5,0.5773502691896257,1.0,-1,-1.0,2,1,0,0,0,0,0,0,0,0,1,0,0
2025-12-01,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,12,49,2025-W49,invierno,0,0,7,0,1,1,0,0.5,0.7071067811865476,0.5,0.5773502691896257,1.0,0,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0
2025-12-08,Basketball,3,1486.0,1306.0,495.3333333333333,3.0,3.0,2025,12,50,2025-W50,invierno,1,0,8,0,0,1,1,0.0,0.0,0.5,0.5773502691896257,1.0,3,0.0,5,1,0,0,0,0,0,0,0,1,0,0,3
2025-12-15,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,12,51,2025-W51,invierno,0,0,9,3,0,0,1,1.5,2.1213203435596424,1.0,1.4142135623730951,3.0,-3,-1.0,5,1,0,0,0,0,0,0,0,1,0,0,0
