categoria,total_ventas,ingresos_total,total_neto,ticket_promedio,n_disenos,n_estados,primera_venta,ultima_venta,tipo_prenda_mas_comun,participacion_pct,margen_pct
Sports,14,5120,5120.0,365.7142857142857,3,1,2026-03-07,2026-03-14,T-Shirt,25.9,100.0
Gym,12,5846,4604.0,487.1666666666667,8,6,2026-01-28,2026-02-21,T-Shirt,22.2,78.8
Futbol,7,3036,2365.0,433.7142857142857,7,5,2025-12-04,2026-01-08,T-Shirt,13.0,77.9
Basketball,6,2758,2115.0,459.6666666666667,6,5,2025-11-12,2026-01-19,T-Shirt,11.1,76.7
Tenis,4,1758,1336.0,439.5,3,3,2025-11-26,2026-02-10,T-Shirt,7.4,76.0
Musica,2,972,830.0,486.0,2,1,2026-03-05,2026-03-05,T-Shirt,3.7,85.4
Movies,2,1372,812.48,686.0,1,2,2026-02-26,2026-02-26,Hoodie,3.7,59.2
Casual,2,1072,828.0,536.0,2,2,2025-10-14,2026-01-11,Jacket,3.7,77.2
Baseball,1,300,210.0,300.0,1,1,2025-12-29,2025-12-29,T-Shirt,1.9,70.0
Deportiva,1,586,453.0,586.0,1,1,2025-10-31,2025-10-31,Jacket,1.9,77.3
Hockey,1,586,487.0,586.0,1,1,2025-10-07,2025-10-07,Jacket,1.9,83.1
Skateboarding,1,200,102.0,200.0,1,1,2025-11-23,2025-11-23,T-Shirt,1.9,51.0
Ufc,1,486,361.0,486.0,1,1,2025-12-30,2025-12-30,T-Shirt,1.9,74.3
