semana_inicio,categoria,unidades,ingresos_total,total_neto_sum,ticket_promedio,n_disenos_unicos,n_estados,anio,mes,semana_iso,anio_semana,temporada,tiene_evento_semana,es_resolucion_ano_nuevo,semanas_desde_inicio
2025-10-06,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,10,41,2025-W41,otono,0,0,0
2025-10-13,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,10,42,2025-W42,otono,0,0,0
2025-10-20,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,10,43,2025-W43,otono,0,0,1
2025-10-27,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,10,44,2025-W44,otono,1,0,2
2025-11-03,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,11,45,2025-W45,otono,0,0,3
2025-11-10,Basketball,1,486.0,353.0,486.0,1.0,1.0,2025,11,46,2025-W46,otono,1,0,4
2025-11-17,Basketball,1,486.0,255.0,486.0,1.0,1.0,2025,11,47,2025-W47,otono,1,0,5
2025-11-24,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,11,48,2025-W48,otono,1,0,6
2025-12-01,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,12,49,2025-W49,invierno,0,0,7
2025-12-08,Basketball,3,1486.0,1306.0,495.3333333333333,3.0,3.0,2025,12,50,2025-W50,invierno,1,0,8
2025-12-15,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,12,51,2025-W51,invierno,0,0,9
2025-12-22,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,12,52,2025-W52,invierno,1,0,10
2025-12-29,Basketball,0,0.0,0.0,0.0,0.0,0.0,2025,12,1,2026-W01,invierno,1,0,11
2026-01-05,Basketball,0,0.0,0.0,0.0,0.0,0.0,2026,1,2,2026-W02,invierno,0,1,12
2026-01-12,Basketball,0,0.0,0.0,0.0,0.0,0.0,2026,1,3,2026-W03,invierno,0,1,13
2026-01-19,Basketball,1,300.0,201.0,300.0,1.0,1.0,2026,1,4,2026-W04,invierno,0,1,14
2026-01-26,Basketball,0,0.0,0.0,0.0,0.0,0.0,2026,1,5,2026-W05,invierno,0,1,15
