venta_id,fecha,anio_semana,estado_venta,ingresos,cargo_venta,costo_envio,total_neto,diseno,categoria,tipo_prenda,estado_geo,pais,es_internacional,anio,mes,semana_iso,dia_semana,dia_mes,es_quincena,es_fin_de_semana,es_inicio_mes,temporada,evento_cercano,tiene_evento,semanas_desde_inicio,es_resolucion_ano_nuevo
1001,2025-10-07,2025-W41,Entregado,586,0.0,99,487.0,Jacket Hockey College,Hockey,Jacket,Puebla,México,0,2025,10,41,1,7,0,0,0,otono,ninguno,0,0,0
1002,2025-10-14,2025-W42,Entregado,586,45.0,100,441.0,Jacket Ralph Lauren,Casual,Jacket,Aguascalientes,México,0,2025,10,42,1,14,1,0,0,otono,ninguno,0,1,0
1003,2025-10-31,2025-W44,Entregado,586,0.0,133,453.0,Jacket Cocodrilo Lacoste,Deportiva,Jacket,Jalisco,México,0,2025,10,44,4,31,1,0,0,otono,halloween,1,3,0
1004,2025-11-12,2025-W46,Entregado,486,0.0,133,353.0,T-Shirt Giannis Antetokounpo,Basketball,T-Shirt,Colima,México,0,2025,11,46,2,12,0,0,0,otono,buen_fin,1,5,0
1005,2025-11-19,2025-W47,Entregado,486,135.0,96,255.0,T-Shirt Lakers Entrenamiento,Basketball,T-Shirt,Querétaro,México,0,2025,11,47,2,19,0,0,0,otono,buen_fin,1,6,0
1006,2025-11-23,2025-W47,Entregado,200,98.0,0,102.0,T-Shirt Skateboard Originals,Skateboarding,T-Shirt,CDMX,México,0,2025,11,47,6,23,0,1,0,otono,buen_fin,1,6,0
1007,2025-11-26,2025-W48,Entregado,486,45.0,89,352.0,T-Shirt Roland Garros,Tenis,T-Shirt,CDMX,México,0,2025,11,48,2,26,0,0,0,otono,black_friday,1,7,0
1008,2025-12-04,2025-W49,Entregado,550,82.0,79,389.0,T-Shirt Tottenham HotSpurs Logo,Futbol,T-Shirt,CDMX,México,0,2025,12,49,3,4,0,0,1,invierno,black_friday,1,8,0
1009,2025-12-05,2025-W49,Entregado,400,0.0,125,275.0,T-Shirt Inter de Milán Logo,Futbol,T-Shirt,Veracruz,México,0,2025,12,49,4,5,0,0,1,invierno,black_friday,1,8,0
1010,2025-12-10,2025-W50,Entregado,400,0.0,125,275.0,T-Shirt Chelsea Logo,Futbol,T-Shirt,Veracruz,México,0,2025,12,50,2,10,0,0,0,invierno,virgen_guadalupe,1,9,0
1011,2025-12-10,2025-W50,Entregado,400,0.0,0,400.0,T-Shirt Kobe Brayant Mamba,Basketball,T-Shirt,Baja California,México,0,2025,12,50,2,10,0,0,0,invierno,virgen_guadalupe,1,9,0
1012,2025-12-13,2025-W50,Entregado,200,0.0,0,200.0,T-Shirt Skateboard Originals City,Futbol,T-Shirt,Michoacán,México,0,2025,12,50,5,13,0,1,0,invierno,virgen_guadalupe,1,9,0
